#gene	refseq	ensembl
OR4F5	NM_001005484.2	ENST00000641515.2
CFAP119	NM_001014979.3	ENST00000543610.6
RNF40	NM_014771.4	ENST00000324685.11
ZNF629	NM_001080417.3	ENST00000262525.6
BCL7C	NM_004765.4	ENST00000215115.5
CTF1	NM_001330.5	ENST00000279804.3
FBXL19	NM_001382779.1	ENST00000338343.10
ORAI3	NM_152288.3	ENST00000318663.5
SETD1A	NM_014712.3	ENST00000262519.14
HSD3B7	NM_025193.4	ENST00000297679.10
STX1B	NM_052874.5	ENST00000215095.11
STX4	NM_004604.5	ENST00000313843.8
ZNF668	NM_024706.5	ENST00000300849.5
ZNF646	NM_014699.4	ENST00000300850.5
PRSS53	NM_001039503.3	ENST00000280606.7
VKORC1	NM_024006.6	ENST00000394975.3
BCKDK	NM_005881.4	ENST00000219794.11
KAT8	NM_032188.3	ENST00000219797.9
PRSS8	NM_002773.5	ENST00000317508.11
PRSS36	NM_173502.5	ENST00000268281.9
FUS	NM_004960.4	ENST00000254108.12
PYCARD	NM_013258.5	ENST00000247470.10
TRIM72	NM_001008274.4	ENST00000322122.8
PYDC1	NM_152901.4	ENST00000302964.4
ITGAM	NM_000632.4	ENST00000544665.9
ITGAX	NM_000887.5	ENST00000268296.9
ITGAD	NM_005353.3	ENST00000389202.3
COX6A2	NM_005205.4	ENST00000287490.5
ZNF843	NM_001136509.3	ENST00000315678.10
ARMC5	NM_001105247.2	ENST00000268314.9
TGFB1I1	NM_001042454.3	ENST00000394863.8
SLC5A2	NM_003041.4	ENST00000330498.4
RUSF1	NM_022744.4	ENST00000327237.7
AHSP	NM_016633.4	ENST00000302312.9
KRBOX5	NM_001130913.2	ENST00000316491.14
ZNF267	NM_003414.6	ENST00000300870.15
TP53TG3D	NM_001243722.3	ENST00000398664.5
TP53TG3	NM_016212.5	ENST00000398682.5
TP53TG3C	NM_001205259.3	ENST00000561509.3
TP53TG3E	NM_001330061.2	ENST00000623491.2
TP53TG3B	NM_001099687.4	ENST00000341305.7
TP53TG3F	NM_001330066.2	ENST00000623042.2
SHCBP1	NM_024745.5	ENST00000303383.8
VPS35	NM_018206.6	ENST00000299138.12
ORC6	NM_014321.4	ENST00000219097.7
MYLK3	NM_182493.3	ENST00000394809.9
C16orf87	NM_001001436.4	ENST00000285697.9
GPT2	NM_133443.4	ENST00000340124.9
DNAJA2	NM_005880.4	ENST00000317089.10
NETO2	NM_018092.5	ENST00000562435.6
ITFG1	NM_030790.5	ENST00000320640.11
PHKB	NM_000293.3	ENST00000323584.10
ABCC12	NM_001393797.1	ENST00000311303.8
ABCC11	NM_001370497.1	ENST00000356608.7
LONP2	NM_031490.5	ENST00000285737.9
SIAH1	NM_003031.4	ENST00000394725.3
N4BP1	NM_153029.4	ENST00000262384.4
CBLN1	NM_004352.4	ENST00000219197.11
C16orf78	NM_144602.4	ENST00000299191.4
ZNF423	NM_001379286.1	ENST00000563137.7
CNEP1R1	NM_001281789.2	ENST00000427478.7
HEATR3	NM_182922.4	ENST00000299192.8
TENT4B	NM_001365324.3	ENST00000561678.7
ADCY7	NM_001114.5	ENST00000673801.1
BRD7	NM_013263.5	ENST00000394688.8
NKD1	NM_033119.5	ENST00000268459.6
SNX20	NM_182854.4	ENST00000330943.9
NOD2	NM_001370466.1	ENST00000647318.2
CYLD	NM_001378743.1	ENST00000427738.8
SALL1	NM_002968.3	ENST00000251020.9
HNRNPA1L3	NM_001396241.1	ENST00000698152.1
TOX3	NM_001080430.4	ENST00000219746.14
CHD9NB	NM_001396020.1	ENST00000619363.3
CHD9	NM_001308319.2	ENST00000447540.6
RBL2	NM_005611.4	ENST00000262133.11
AKTIP	NM_022476.4	ENST00000394657.12
RPGRIP1L	NM_015272.5	ENST00000647211.2
FTO	NM_001080432.3	ENST00000471389.6
IRX3	NM_024336.3	ENST00000329734.4
IRX5	NM_005853.6	ENST00000394636.9
IRX6	NM_024335.3	ENST00000290552.8
MMP2	NM_004530.6	ENST00000219070.9
LPCAT2	NM_017839.5	ENST00000262134.10
CAPNS2	NM_032330.3	ENST00000457326.3
SLC6A2	NM_001172501.3	ENST00000568943.6
CES1	NM_001025195.2	ENST00000360526.8
CES5A	NM_001143685.2	ENST00000290567.14
GNAO1	NM_020988.3	ENST00000262493.12
AMFR	NM_001144.6	ENST00000290649.10
NUDT21	NM_007006.3	ENST00000300291.10
OGFOD1	NM_018233.4	ENST00000566157.6
BBS2	NM_031885.5	ENST00000245157.11
MT4	NM_032935.3	ENST00000219162.4
MT3	NM_005954.4	ENST00000200691.5
MT2A	NM_005953.5	ENST00000245185.6
MT1E	NM_001363555.2	ENST00000330439.7
MT1M	NM_176870.3	ENST00000379818.4
MT1A	NM_005946.3	ENST00000290705.12
MT1B	NM_005947.3	ENST00000334346.3
MT1F	NM_005949.4	ENST00000334350.7
MT1G	NM_001301267.2	ENST00000379811.4
MT1H	NM_005951.2	ENST00000332374.5
MT1X	NM_005952.4	ENST00000394485.5
NUP93	NM_014669.5	ENST00000308159.10
SLC12A3	NM_001126108.2	ENST00000563236.6
HERPUD1	NM_014685.4	ENST00000439977.7
CETP	NM_000078.3	ENST00000200676.8
NLRC5	NM_001384950.1	ENST00000688547.1
CPNE2	NM_152727.6	ENST00000290776.13
PSME3IP1	NM_024946.4	ENST00000309137.13
RSPRY1	NM_133368.3	ENST00000394420.9
ARL2BP	NM_012106.4	ENST00000219204.8
PLLP	NM_015993.3	ENST00000219207.10
CCL22	NM_002990.5	ENST00000219235.5
CX3CL1	NM_002996.6	ENST00000006053.7
CCL17	NM_002987.3	ENST00000219244.9
CIAPIN1	NM_020313.4	ENST00000394391.9
COQ9	NM_020312.4	ENST00000262507.11
POLR2C	NM_032940.3	ENST00000219252.10
DOK4	NM_018110.5	ENST00000340099.10
CCDC102A	NM_033212.4	ENST00000258214.3
ADGRG5	NM_001304376.3	ENST00000349457.8
ADGRG1	NM_201525.4	ENST00000562631.7
ADGRG3	NM_170776.5	ENST00000333493.9
DRC7	NM_001289162.2	ENST00000360716.8
KATNB1	NM_005886.3	ENST00000379661.8
KIFC3	NM_001130100.2	ENST00000445690.7
CNGB1	NM_001297.5	ENST00000251102.13
SPMIP8	NM_199456.3	ENST00000441824.4
ZNF319	NM_020807.3	ENST00000299237.3
USB1	NM_024598.4	ENST00000219281.8
MMP15	NM_002428.4	ENST00000219271.4
CFAP20	NM_013242.3	ENST00000262498.8
CSNK2A2	NM_001896.4	ENST00000262506.8
CFAP263	NM_014157.4	ENST00000219299.8
PRSS54	NM_001305173.2	ENST00000567164.6
GINS3	NM_022770.4	ENST00000318129.6
NDRG4	NM_001242835.2	ENST00000570248.6
SETD6	NM_001160305.4	ENST00000219315.9
CNOT1	NM_016284.5	ENST00000317147.10
SLC38A7	NM_018231.3	ENST00000219320.9
GOT2	NM_002080.4	ENST00000245206.10
CDH8	NM_001796.5	ENST00000577390.6
CDH11	NM_001797.4	ENST00000268603.9
CDH5	NM_001795.5	ENST00000341529.8
BEAN1	NM_001178020.3	ENST00000536005.7
TK2	NM_004614.5	ENST00000544898.6
CKLF	NM_016951.4	ENST00000264001.9
CMTM1	NM_052999.4	ENST00000379500.7
CMTM2	NM_144673.3	ENST00000268595.3
CMTM4	NM_181521.3	ENST00000394106.7
CMTM3	NM_181553.4	ENST00000567572.6
DYNC1LI2	NM_006141.3	ENST00000258198.7
TERB1	NM_001136505.2	ENST00000433154.6
NAE1	NM_003905.4	ENST00000290810.8
CA7	NM_005182.3	ENST00000338437.7
PDP2	NM_020786.4	ENST00000311765.4
CDH16	NM_004062.4	ENST00000299752.9
RRAD	NM_004165.3	ENST00000299759.11
CIAO2B	NM_016062.4	ENST00000422424.7
CES2	NM_001365405.1	ENST00000317091.10
CES3	NM_024922.6	ENST00000303334.9
CES4A	NM_001364782.1	ENST00000648724.3
CBFB	NM_022845.3	ENST00000412916.7
PHAF1	NM_025187.5	ENST00000219139.8
B3GNT9	NM_033309.3	ENST00000449549.4
TRADD	NM_003789.4	ENST00000345057.9
FBXL8	NM_018378.3	ENST00000258200.8
HSF4	NM_001374675.1	ENST00000521374.6
NOL3	NM_001276309.3	ENST00000564992.2
MATCAP1	NM_001040715.2	ENST00000563902.2
EXOC3L1	NM_178516.4	ENST00000314586.11
E2F4	NM_001950.4	ENST00000379378.8
ELMO3	NM_024712.5	ENST00000393997.8
TMEM208	NM_014187.4	ENST00000304800.14
FHOD1	NM_013241.3	ENST00000258201.9
SLC9A5	NM_004594.3	ENST00000299798.16
PLEKHG4	NM_001129729.3	ENST00000379344.8
KCTD19	NM_001100915.3	ENST00000304372.6
LRRC36	NM_018296.6	ENST00000329956.11
TPPP3	NM_015964.4	ENST00000393957.7
ZDHHC1	NM_001323627.2	ENST00000565726.3
HSD11B2	NM_000196.4	ENST00000326152.6
ATP6V0D1	NM_004691.5	ENST00000290949.8
AGRP	NM_001138.2	ENST00000290953.3
RIPOR1	NM_024519.4	ENST00000042381.9
CTCF	NM_006565.4	ENST00000264010.10
CARMIL2	NM_001013838.3	ENST00000334583.11
ACD	NM_001082486.2	ENST00000620761.6
PARD6A	NM_001037281.2	ENST00000458121.7
ENKD1	NM_032140.3	ENST00000243878.9
C16orf86	NM_001012984.3	ENST00000403458.9
GFOD2	NM_030819.4	ENST00000268797.12
RANBP10	NM_020850.3	ENST00000317506.8
TSNAXIP1	NM_001288990.3	ENST00000561639.6
CENPT	NM_025082.4	ENST00000562787.6
THAP11	NM_020457.3	ENST00000303596.3
NUTF2	NM_005796.3	ENST00000219169.9
EDC4	NM_014329.5	ENST00000358933.10
NRN1L	NM_198443.2	ENST00000339176.8
PSKH1	NM_006742.3	ENST00000291041.6
CTRL	NM_001907.3	ENST00000574481.6
PSMB10	NM_002801.4	ENST00000358514.9
LCAT	NM_000229.2	ENST00000264005.10
SLC12A4	NM_005072.5	ENST00000316341.8
DPEP3	NM_001370198.1	ENST00000268793.6
DPEP2	NM_022355.4	ENST00000393847.6
DPEP2NB	NM_001282442.2	ENST00000574912.1
DDX28	NM_018380.4	ENST00000332395.7
DUS2	NM_017803.5	ENST00000565263.6
NFATC3	NM_173165.3	ENST00000346183.8
ESRP2	NM_024939.3	ENST00000473183.7
PLA2G15	NM_012320.4	ENST00000219345.10
SLC7A6	NM_003983.6	ENST00000219343.11
SLC7A6OS	NM_032178.3	ENST00000263997.11
PRMT7	NM_019023.5	ENST00000441236.3
SMPD3	NM_018667.4	ENST00000219334.10
ZFP90	NM_001305203.2	ENST00000563169.7
CDH3	NM_001793.6	ENST00000264012.9
CDH1	NM_004360.5	ENST00000261769.10
TANGO6	NM_024562.2	ENST00000261778.2
HAS3	NM_001199280.2	ENST00000569188.6
CHTF8	NM_001039690.5	ENST00000448552.7
DERPC	NM_001002847.4	ENST00000519520.7
UTP4	NM_032830.3	ENST00000314423.12
SNTB2	NM_006750.4	ENST00000336278.9
VPS4A	NM_013245.3	ENST00000254950.13
COG8	NM_032382.5	ENST00000306875.10
PDF	NM_022341.2	ENST00000288022.2
NIP7	NM_016101.5	ENST00000254940.10
TMED6	NM_144676.4	ENST00000288025.4
TERF2	NM_005652.5	ENST00000254942.8
CYB5B	NM_030579.3	ENST00000307892.13
NFAT5	NM_138713.4	ENST00000349945.7
NQO1	NM_000903.3	ENST00000320623.10
NOB1	NM_014062.3	ENST00000268802.10
WWP2	NM_001270454.2	ENST00000359154.7
CLEC18A	NM_001370523.4	ENST00000288040.11
PDPR	NM_017990.5	ENST00000288050.9
CLEC18C	NM_173619.4	ENST00000541793.7
EXOSC6	NM_058219.3	ENST00000435634.3
AARS1	NM_001605.3	ENST00000261772.13
DDX19B	NM_007242.7	ENST00000288071.11
DDX19A	NM_018332.5	ENST00000302243.12
ST3GAL2	NM_006927.4	ENST00000342907.3
FCSK	NM_145059.3	ENST00000288078.11
COG4	NM_015386.3	ENST00000323786.10
SF3B3	NM_012426.5	ENST00000302516.10
IL34	NM_001393494.1	ENST00000288098.7
MTSS2	NM_138383.3	ENST00000338779.11
VAC14	NM_018052.5	ENST00000261776.10
HYDIN	NM_001270974.2	ENST00000393567.7
CMTR2	NM_018348.6	ENST00000434935.7
CALB2	NM_001740.5	ENST00000302628.9
TLE7	NM_001367365.2	ENST00000561754.4
ZNF23	NM_001381984.1	ENST00000647773.2
ZNF19	NM_006961.4	ENST00000288177.10
CHST4	NM_001166395.2	ENST00000539698.4
TAT	NM_000353.3	ENST00000355962.5
MARVELD3	NM_052858.6	ENST00000268485.8
PHLPP2	NM_015020.3	ENST00000568954.5
AP1G1	NM_001128.6	ENST00000299980.9
ATXN1L	NM_001137675.4	ENST00000427980.7
ZNF821	NM_001201552.2	ENST00000425432.6
IST1	NM_001270975.2	ENST00000378799.11
PKD1L3	NM_181536.2	ENST00000620267.2
DHODH	NM_001361.5	ENST00000219240.9
HP	NM_005143.5	ENST00000355906.10
HPR	NM_020995.4	ENST00000540303.7
TXNL4B	NM_017853.3	ENST00000268483.8
DHX38	NM_014003.4	ENST00000268482.8
PMFBP1	NM_031293.3	ENST00000237353.15
ZFHX3	NM_006885.4	ENST00000268489.10
PSMD7	NM_002811.5	ENST00000219313.9
NPIPB15	NM_001306094.2	ENST00000692376.1
CLEC18B	NM_001385193.1	ENST00000682950.1
GLG1	NM_001145667.2	ENST00000422840.7
RFWD3	NM_018124.4	ENST00000361070.9
MLKL	NM_152649.4	ENST00000308807.12
FA2H	NM_024306.5	ENST00000219368.8
WDR59	NM_030581.4	ENST00000262144.11
ZNRF1	NM_032268.5	ENST00000335325.9
LDHD	NM_194436.3	ENST00000450168.3
ZFP1	NM_153688.4	ENST00000570010.6
CTRB2	NM_001025200.4	ENST00000303037.13
CTRB1	NM_001906.6	ENST00000361017.9
BCAR1	NM_014567.5	ENST00000162330.10
CFDP1	NM_006324.3	ENST00000283882.4
TMEM170A	NM_145254.3	ENST00000561878.2
CHST6	NM_021615.5	ENST00000332272.9
CHST5	NM_024533.5	ENST00000336257.8
TMEM231	NM_001077418.3	ENST00000258173.11
GABARAPL2	NM_007285.7	ENST00000037243.7
ADAT1	NM_001324445.2	ENST00000564657.2
KARS1	NM_005548.3	ENST00000302445.8
TERF2IP	NM_018975.4	ENST00000300086.5
CPHXL2	NM_001395862.1	ENST00000640173.1
DUXB	NM_001351307.2	ENST00000633875.4
CPHXL	NM_001355613.1	ENST00000640559.2
CNTNAP4	NM_033401.5	ENST00000611870.5
MON1B	NM_014940.4	ENST00000248248.8
SYCE1L	NM_001129979.3	ENST00000378644.5
ADAMTS18	NM_199355.4	ENST00000282849.10
NUDT7	NM_001105663.3	ENST00000268533.9
VAT1L	NM_020927.3	ENST00000302536.3
CLEC3A	NM_005752.6	ENST00000299642.10
WWOX	NM_016373.4	ENST00000566780.6
MAF	NM_005360.5	ENST00000326043.5
DYNLRB2	NM_130897.3	ENST00000305904.11
CDYL2	NM_152342.4	ENST00000570137.7
CMC2	NM_020188.5	ENST00000219400.8
CENPN	NM_001100624.3	ENST00000305850.10
ATMIN	NM_015251.3	ENST00000299575.5
C16orf46	NM_152337.3	ENST00000299578.10
GCSH	NM_004483.5	ENST00000315467.9
BCO1	NM_017429.3	ENST00000258168.7
GAN	NM_022041.4	ENST00000648994.2
CMIP	NM_198390.3	ENST00000537098.8
PLCG2	NM_002661.5	ENST00000564138.6
SDR42E1	NM_145168.3	ENST00000328945.7
HSD17B2	NM_002153.3	ENST00000199936.9
MPHOSPH6	NM_005792.2	ENST00000258169.9
CDH13	NM_001257.5	ENST00000567109.6
HSBP1	NM_001537.4	ENST00000433866.7
MLYCD	NM_012213.3	ENST00000262430.6
OSGIN1	NM_182981.3	ENST00000393306.6
NECAB2	NM_019065.3	ENST00000305202.9
SLC38A8	NM_001080442.3	ENST00000299709.8
MBTPS1	NM_003791.4	ENST00000343411.8
HSDL1	NM_031463.5	ENST00000219439.9
DNAAF1	NM_178452.6	ENST00000378553.10
TAF1C	NM_001243156.2	ENST00000566732.6
ADAD2	NM_001145400.2	ENST00000315906.10
KCNG4	NM_172347.3	ENST00000308251.6
WFDC1	NM_021197.4	ENST00000219454.10
ATP2C2	NM_014861.4	ENST00000262429.9
MEAK7	NM_020947.4	ENST00000343629.11
COTL1	NM_021149.5	ENST00000262428.5
KLHL36	NM_024731.4	ENST00000564996.6
USP10	NM_005153.3	ENST00000219473.12
CRISPLD2	NM_031476.4	ENST00000262424.10
ZDHHC7	NM_017740.3	ENST00000313732.9
KIAA0513	NM_001388359.1	ENST00000683363.1
CIBAR2	NM_198491.3	ENST00000539556.6
GSE1	NM_014615.5	ENST00000253458.12
GINS2	NM_016095.3	ENST00000253462.8
C16orf74	NM_206967.3	ENST00000284245.9
EMC8	NM_006067.5	ENST00000253457.8
COX4I1	NM_001861.6	ENST00000253452.8
IRF8	NM_002163.4	ENST00000268638.10
FOXF1	NM_001451.3	ENST00000262426.6
MTHFSD	NM_001159377.2	ENST00000360900.11
FOXC2	NM_005251.3	ENST00000649859.1
FOXL1	NM_005250.3	ENST00000320241.5
C16orf95	NM_001195124.3	ENST00000567970.2
FBXO31	NM_024735.5	ENST00000311635.12
MAP1LC3B	NM_022818.5	ENST00000268607.10
ZCCHC14	NM_015144.3	ENST00000671377.2
JPH3	NM_020655.4	ENST00000284262.3
KLHDC4	NM_017566.4	ENST00000270583.10
SLC7A5	NM_003486.7	ENST00000261622.5
CA5A	NM_001739.2	ENST00000649794.3
BANP	NM_001386991.1	ENST00000682872.1
ZNF469	NM_001367624.2	ENST00000565624.3
ZFPM1	NM_153813.3	ENST00000319555.8
ZC3H18	NM_144604.4	ENST00000301011.10
IL17C	NM_013278.4	ENST00000244241.5
CYBA	NM_000101.4	ENST00000261623.8
MVD	NM_002461.3	ENST00000301012.8
SNAI3	NM_178310.4	ENST00000332281.6
RNF166	NM_178841.4	ENST00000312838.9
CTU2	NM_001012759.3	ENST00000453996.7
PIEZO1	NM_001142864.4	ENST00000301015.14
CDT1	NM_030928.4	ENST00000301019.9
APRT	NM_000485.3	ENST00000378364.8
GALNS	NM_000512.5	ENST00000268695.10
TRAPPC2L	NM_001318525.2	ENST00000696289.1
PABPN1L	NM_001080487.4	ENST00000419291.7
CBFA2T3	NM_005187.6	ENST00000268679.9
ACSF3	NM_001243279.3	ENST00000614302.5
CDH15	NM_004933.3	ENST00000289746.3
SLC22A31	NM_001384763.1	ENST00000682282.1
ZNF778	NM_001201407.2	ENST00000433976.7
ANKRD11	NM_013275.6	ENST00000301030.10
LOC128462377	NM_001416403.1	ENST00000711617.1
SPG7	NM_003119.4	ENST00000645818.2
RPL13	NM_000977.4	ENST00000311528.10
CPNE7	NM_153636.3	ENST00000319518.13
DPEP1	NM_001389466.1	ENST00000690203.1
CHMP1A	NM_002768.5	ENST00000397901.8
SPATA33	NM_001271907.2	ENST00000579310.6
CDK10	NM_052988.5	ENST00000353379.12
SPATA2L	NM_152339.4	ENST00000289805.10
VPS9D1	NM_004913.3	ENST00000389386.8
ZNF276	NM_001113525.2	ENST00000443381.7
FANCA	NM_000135.4	ENST00000389301.8
SPIRE2	NM_032451.2	ENST00000378247.8
TCF25	NM_014972.3	ENST00000263346.13
MC1R	NM_002386.4	ENST00000555147.2
TUBB3	NM_006086.4	ENST00000315491.12
DEF8	NM_001242818.2	ENST00000563594.6
DBNDD1	NM_001042610.3	ENST00000002501.11
GAS8	NM_001481.3	ENST00000268699.9
PRDM7	NM_001098173.2	ENST00000449207.8
SCGB1C2	NM_001097610.3	ENST00000595228.4
DOC2B	NM_003585.5	ENST00000613549.3
RPH3AL	NM_006987.4	ENST00000331302.12
LIAT1	NM_001013672.5	ENST00000360127.7
VPS53	NM_001128159.3	ENST00000437048.7
TLCD3A	NM_024792.3	ENST00000308278.13
GEMIN4	NM_015721.3	ENST00000319004.6
GLOD4	NM_016080.4	ENST00000301329.11
MRM3	NM_018146.4	ENST00000304478.9
NXN	NM_022463.5	ENST00000336868.8
TIMM22	NM_013337.4	ENST00000327158.5
ABR	NM_021962.5	ENST00000302538.10
BHLHA9	NM_001164405.2	ENST00000391429.2
TRARG1	NM_172367.3	ENST00000333813.4
YWHAE	NM_006761.5	ENST00000264335.13
CRK	NM_016823.4	ENST00000300574.3
MYO1C	NM_001080779.2	ENST00000648651.1
INPP5K	NM_016532.4	ENST00000421807.7
PITPNA	NM_006224.4	ENST00000313486.12
SLC43A2	NM_152346.3	ENST00000301335.10
SCARF1	NM_003693.4	ENST00000263071.9
RILP	NM_031430.3	ENST00000301336.7
PRPF8	NM_006445.4	ENST00000304992.11
TLCD2	NM_001164407.2	ENST00000330676.8
WDR81	NM_001163809.2	ENST00000409644.6
SERPINF2	NM_000934.4	ENST00000453066.6
SERPINF1	NM_002615.7	ENST00000254722.9
SMYD4	NM_052928.3	ENST00000305513.12
RPA1	NM_002945.5	ENST00000254719.10
RTN4RL1	NM_178568.4	ENST00000331238.7
DPH1	NM_001383.6	ENST00000263083.12
OVCA2	NM_080822.3	ENST00000572195.3
HIC1	NM_006497.4	ENST00000619757.5
SMG6	NM_017575.5	ENST00000263073.11
SRR	NM_021947.3	ENST00000344595.10
TSR1	NM_018128.5	ENST00000301364.10
SGSM2	NM_014853.3	ENST00000268989.8
MNT	NM_020310.3	ENST00000174618.5
METTL16	NM_024086.4	ENST00000263092.11
PAFAH1B1	NM_000430.4	ENST00000397195.10
CLUH	NM_001366661.1	ENST00000651024.2
CCDC92B	NM_001355573.2	ENST00000614400.2
RAP1GAP2	NM_015085.5	ENST00000254695.13
OR1D5	NM_014566.1	ENST00000575751.1
OR1D2	NM_002548.3	ENST00000641833.1
OR1G1	NM_003555.1	ENST00000328890.3
OR1A2	NM_012352.3	ENST00000381951.1
OR1A1	NM_014565.3	ENST00000641732.2
OR3A2	NM_002551.5	ENST00000573901.3
OR3A1	NM_002550.3	ENST00000323404.2
OR1R1P	NM_001396056.1	ENST00000572493.2
OR1E1	NM_003553.3	ENST00000322608.2
OR3A3	NM_012373.3	ENST00000641141.1
OR1E2	NM_003554.2	ENST00000248384.1
SPATA22	NM_001170698.2	ENST00000572969.6
ASPA	NM_000049.4	ENST00000263080.3
TRPV3	NM_145068.4	ENST00000576742.6
TRPV1	NM_080704.4	ENST00000572705.2
SHPK	NM_013276.4	ENST00000225519.5
CTNS	NM_004937.3	ENST00000046640.9
TAX1BP3	NM_014604.4	ENST00000225525.4
EMC6	NM_031298.4	ENST00000248378.6
P2RX5	NM_002561.4	ENST00000225328.10
ITGAE	NM_002208.5	ENST00000263087.9
HASPIN	NM_031965.2	ENST00000325418.5
NCBP3	NM_001114118.3	ENST00000389005.6
CAMKK1	NM_032294.3	ENST00000348335.7
P2RX1	NM_002558.4	ENST00000225538.4
ATP2A3	NM_005173.4	ENST00000397041.8
ZZEF1	NM_015113.4	ENST00000381638.7
CYB5D2	NM_144611.4	ENST00000301391.8
ANKFY1	NM_001330063.2	ENST00000341657.9
UBE2G1	NM_003342.5	ENST00000396981.7
SPNS3	NM_182538.5	ENST00000355530.7
SPNS2	NM_001124758.3	ENST00000329078.8
MYBBP1A	NM_014520.4	ENST00000254718.9
GGT6	NM_001288702.2	ENST00000381550.8
SMTNL2	NM_001114974.2	ENST00000389313.9
ALOX15	NM_001140.5	ENST00000293761.8
PELP1	NM_014389.3	ENST00000572293.7
ARRB2	NM_004313.4	ENST00000269260.7
MED11	NM_001001683.4	ENST00000293777.6
CXCL16	NM_001386809.1	ENST00000293778.12
ZMYND15	NM_001136046.3	ENST00000433935.6
TM4SF5	NM_003963.3	ENST00000270560.4
VMO1	NM_182566.3	ENST00000328739.6
GLTPD2	NM_001014985.3	ENST00000331264.8
PSMB6	NM_002798.3	ENST00000270586.8
C17orf114	NM_001395223.2	ENST00000635921.2
PLD2	NM_002663.5	ENST00000263088.11
MINK1	NM_153827.5	ENST00000355280.11
CHRNE	NM_000080.4	ENST00000649488.2
C17orf107	NM_001145536.2	ENST00000381365.4
GP1BA	NM_000173.7	ENST00000329125.6
SLC25A11	NM_003562.5	ENST00000225665.12
RNF167	NM_015528.3	ENST00000262482.11
PFN1	NM_005022.4	ENST00000225655.6
ENO3	NM_053013.4	ENST00000519602.6
SPAG7	NM_004890.3	ENST00000206020.8
CAMTA2	NM_015099.4	ENST00000348066.8
INCA1	NM_001394789.1	ENST00000695324.1
KIF1C	NM_006612.6	ENST00000320785.10
SLC52A1	NM_017986.4	ENST00000254853.10
ZFP3	NM_153018.3	ENST00000318833.4
ZNF232	NM_014519.6	ENST00000250076.8
USP6	NM_001304284.2	ENST00000574788.6
ZNF594	NM_032530.2	ENST00000575779.2
SCIMP	NM_207103.3	ENST00000574081.6
RABEP1	NM_004703.6	ENST00000537505.6
NUP88	NM_002532.6	ENST00000573584.6
RPAIN	NM_001033002.4	ENST00000381209.8
C1QBP	NM_001212.4	ENST00000225698.8
DHX33	NM_020162.4	ENST00000225296.8
DERL2	NM_016041.5	ENST00000158771.9
MIS12	NM_001258217.2	ENST00000611091.5
LOC728392	NM_001162371.3	ENST00000568641.2
NLRP1	NM_033004.4	ENST00000572272.6
WSCD1	NM_015253.2	ENST00000317744.10
AIPL1	NM_014336.5	ENST00000381129.8
PIMREG	NM_019013.3	ENST00000572447.6
PITPNM3	NM_031220.4	ENST00000262483.13
KIAA0753	NM_014804.3	ENST00000361413.8
LOC122526780	NM_001396008.1	ENST00000713584.1
TXNDC17	NM_032731.4	ENST00000250101.10
MED31	NM_016060.3	ENST00000225728.8
C17orf100	NM_001105520.2	ENST00000542475.3
SLC13A5	NM_177550.5	ENST00000433363.7
XAF1	NM_017523.5	ENST00000361842.8
FBXO39	NM_153230.3	ENST00000321535.5
TEKT1	NM_053285.2	ENST00000338694.7
ALOX12	NM_000697.3	ENST00000251535.11
RNASEK	NM_001004333.5	ENST00000593646.6
C17orf49	NM_174893.4	ENST00000439424.6
BCL6B	NM_181844.4	ENST00000293805.10
SLC16A13	NM_201566.3	ENST00000308027.7
SLC16A11	NM_001370549.1	ENST00000574600.3
CLEC10A	NM_001330070.2	ENST00000416562.7
ASGR2	NM_001201352.2	ENST00000691900.1
ASGR1	NM_001671.5	ENST00000269299.8
DLG4	NM_001321075.3	ENST00000399506.9
ACADVL	NM_000018.4	ENST00000356839.10
DVL2	NM_004422.3	ENST00000005340.10
PHF23	NM_024297.3	ENST00000320316.8
GABARAP	NM_007278.2	ENST00000302386.10
CTDNEP1	NM_001143775.2	ENST00000574322.6
ELP5	NM_203414.3	ENST00000396628.7
CLDN7	NM_001307.6	ENST00000360325.11
SLC2A4	NM_001042.3	ENST00000317370.13
YBX2	NM_015982.4	ENST00000007699.10
EIF5A	NM_001970.5	ENST00000336458.13
GPS2	NM_004489.5	ENST00000380728.7
NEURL4	NM_032442.3	ENST00000399464.7
ACAP1	NM_014716.4	ENST00000158762.8
KCTD11	NM_001363642.1	ENST00000333751.8
TMEM95	NM_001320436.2	ENST00000576060.6
TNK1	NM_003985.6	ENST00000688331.1
PLSCR3	NM_020360.4	ENST00000619711.5
TMEM256	NM_152766.5	ENST00000302422.4
NLGN2	NM_020795.4	ENST00000302926.7
SPEM1	NM_199339.3	ENST00000323675.4
SPEM2	NM_175734.5	ENST00000333870.8
SPEM3	NM_001364708.1	ENST00000636696.4
TMEM102	NM_178518.3	ENST00000323206.2
FGF11	NM_004112.4	ENST00000293829.9
CHRNB1	NM_000747.3	ENST00000306071.7
ZBTB4	NM_001128833.2	ENST00000380599.9
SLC35G6	NM_001102614.2	ENST00000412468.4
TNFSF12	NM_003809.3	ENST00000293825.11
TNFSF13	NM_003808.4	ENST00000338784.9
SENP3	NM_015670.6	ENST00000321337.12
EIF4A1	NM_001416.4	ENST00000293831.13
CD68	NM_001251.3	ENST00000250092.11
MPDU1	NM_004870.4	ENST00000250124.11
SOX15	NM_006942.2	ENST00000250055.3
